,clu
Bradi1g08070,7
Bradi1g08120,7
Bradi1g08145,7
Bradi3g28350,7
Bradi1g08150,7
Bradi2g48990,7
Bradi2g48940,7
Bradi5g20660,7
Bradi2g48840,7
Bradi2g48740,7
Bradi2g48735,7
Bradi2g49000,7
Bradi1g19960,7
Bradi1g36610,7
Bradi1g62360,7
Bradi1g68710,7
Bradi4g20800,7
Bradi4g30350,7
Bradi1g30580,7
Bradi1g25440,7
Bradi1g28100,7
Bradi1g69040,7
Bradi4g41160,7
Bradi4g30930,7
Bradi1g62385,7
Bradi1g69160,7
Bradi1g49760,7
Bradi4g44250,7
Bradi1g49680,7
Bradi5g07160,7
Bradi1g69407,7
Bradi1g69420,7
Bradi5g07170,7
Bradi1g49663,7
Bradi1g50590,7
Bradi1g49657,7
Bradi4g29920,7
Bradi1g33017,7
Bradi4g41717,7
Bradi1g25600,7
Bradi4g41580,7
Bradi4g41430,7
Bradi4g12600,7
Bradi1g32800,7
Bradi4g12250,7
Bradi1g62430,7
Bradi4g12050,7
Bradi1g51245,7
Bradi1g62420,7
Bradi1g68010,7
Bradi5g07146,7
Bradi1g68210,7
Bradi4g29580,7
Bradi1g32830,7
Bradi4g29720,7
Bradi1g68330,7
Bradi1g68340,7
Bradi4g10663,7
Bradi1g69740,7
Bradi4g41030,7
Bradi4g40250,7
Bradi1g61850,7
Bradi4g31380,7
Bradi4g06510,7
Bradi4g20980,7
Bradi1g33650,7
Bradi3g05390,7
Bradi4g06300,7
Bradi4g21005,7
Bradi1g72390,7
Bradi1g48370,7
Bradi4g31440,7
Bradi1g59690,7
Bradi4g31820,7
Bradi1g72449,7
Bradi1g48050,7
Bradi5g01270,7
Bradi1g47910,7
Bradi1g47830,7
Bradi1g57750,7
Bradi4g07100,7
Bradi1g71540,7
Bradi1g61973,7
Bradi1g23910,7
Bradi4g08917,7
Bradi5g07840,7
Bradi1g25117,7
Bradi1g24920,7
Bradi5g07996,7
Bradi4g08640,7
Bradi4g08395,7
Bradi1g59420,7
Bradi4g08220,7
Bradi1g52150,7
Bradi1g49470,7
Bradi4g07911,7
Bradi1g49172,7
Bradi5g08600,7
Bradi4g07397,7
Bradi4g24967,7
Bradi1g28130,7
Bradi4g07380,7
Bradi4g31240,7
Bradi1g23960,7
Bradi4g31110,7
Bradi1g33700,7
Bradi1g52210,7
Bradi1g67205,7
Bradi4g17020,7
Bradi1g55876,7
Bradi4g16690,7
Bradi4g16630,7
Bradi1g62830,7
Bradi4g27720,7
Bradi4g16440,7
Bradi1g31066,7
Bradi1g64850,7
Bradi1g64927,7
Bradi1g62800,7
Bradi1g55488,7
Bradi5g03156,7
Bradi1g31210,7
Bradi4g28000,7
Bradi1g65300,7
Bradi4g15350,7
Bradi5g01737,7
Bradi4g28057,7
Bradi1g56137,7
Bradi1g26197,7
Bradi4g43980,7
Bradi1g64140,7
Bradi1g63060,7
Bradi1g63080,7
Bradi4g19457,7
Bradi4g19197,7
Bradi1g57470,7
Bradi4g25750,7
Bradi4g19947,7
Bradi1g30690,7
Bradi1g30710,7
Bradi1g58210,7
Bradi4g26390,7
Bradi1g56860,7
Bradi1g63850,7
Bradi1g30882,7
Bradi1g62850,7
Bradi4g44120,7
Bradi1g56720,7
Bradi4g17230,7
Bradi1g58230,7
Bradi1g56660,7
Bradi4g28070,7
Bradi1g54931,7
Bradi1g65725,7
Bradi1g25860,7
Bradi1g53654,7
Bradi1g66920,7
Bradi1g66930,7
Bradi1g31710,7
Bradi4g25440,7
Bradi1g66980,7
Bradi1g66990,7
Bradi1g28090,7
Bradi4g28700,7
Bradi1g67080,7
Bradi1g32180,7
Bradi4g28830,7
Bradi1g67110,7
Bradi1g52690,7
Bradi1g67120,7
Bradi1g67127,7
Bradi1g67200,7
